,location_name,TOXICITY,SEVERE_TOXICITY,IDENTITY_ATTACK,INSULT,PROFANITY,THREAT,SEXUALLY_EXPLICIT
30,Oklahoma,0.008756630248868752,0.006669581111366814,0.006787995744776717,0.00847740100165117,0.008638320147347067,0.006595059023628141,0.006348171875271196
33,Oregon,0.006595113901229319,0.0045025853773207804,0.003573109127340665,0.006455852389552443,0.0065838088797522615,0.004408939633008212,0.004370085800558736
49,Pennsylvania,0.008654403755813667,0.0065455593661689505,0.005125813011127963,0.008606414754852127,0.008864001699553313,0.006064072129451759,0.0050352876376677045
50,RhodeIsland,0.007198520225749368,0.005205899729353633,0.004148163452719246,0.0069725470931198885,0.006977619767838464,0.00505534005069756,0.004519725538568628
44,SouthCarolina,0.007807068752022937,0.00593194359620292,0.004829924357605171,0.007928037603868907,0.007488501379855894,0.005873863399985967,0.005805992685073839
12,SouthDakota,0.009548490625066595,0.007451584747136344,0.006123491887750858,0.009449179088413048,0.009729608346663478,0.005408180144864921,0.005777011513273392
8,Tennessee,0.008729589193898355,0.006559532125345129,0.007370154325356008,0.008725027771287128,0.008659711138704423,0.005669380022610728,0.00536549500408325
5,Texas,0.008765586210785447,0.006837884831485368,0.006191301028936758,0.008356383237422198,0.008793467879945963,0.005424024119620606,0.006470829858401956
35,Utah,0.008371229513668877,0.0062566248680251185,0.0071892725686708596,0.00844745887763891,0.008184183967683683,0.004864431575093697,0.006214581467157676
27,Vermont,0.00624017068786205,0.004480885248950128,0.003575569125535296,0.006086344816312358,0.006216166176910411,0.004362255874186676,0.004444318093200313
6,Virginia,0.007476224553112182,0.005502795443888555,0.0050458900683470085,0.007385378824775384,0.007374686966965717,0.005506928853982958,0.005112876394247966
40,Washington,0.0071725389821653334,0.005098896905089394,0.004376480350460233,0.007155086308679664,0.006951733610005596,0.006312835203353808,0.004200713831259028
42,WashingtonDC,0.007377170404083904,0.005320861631014672,0.004059543552441365,0.007467729915047013,0.007114649093759282,0.004778032469045291,0.004527409503687107
15,WestVirginia,0.007049676924813923,0.005086039101928093,0.003977925925324677,0.0072044291134509345,0.007015845549599446,0.004281159326040049,0.004479850703043012
9,Wisconsin,0.008523550126962966,0.006409387887874344,0.006083389218632713,0.008164642562345744,0.008821288067189789,0.004835627863269044,0.006225618475758762
0,Wyoming,0.007947356225276037,0.005991794009931985,0.004382581082497738,0.0077956726157379684,0.008254532084770115,0.004694495811246602,0.005260216833913137
51,average,0.007688579262764191,0.00564654811747459,0.0047354362239089495,0.007584219426535215,0.007706563023545038,0.005004983460740189,0.0049836684196024866
